Title,Publisher,Valuable,Count,IDnum
Boss Monster: The Dungeon Building Card Game,Brotherwise Games,TRUE,1,1141
Bottom of the 9th,Dice Hate Me Games,TRUE,1,1407
Braintopia,Asmodee,TRUE,1,3054
Brick Party,Post Scriptum,TRUE,1,1600
Brikks,Schmidt Spiel,TRUE,1,2686
Broadhorns: Early Trade on the Mississippi,Rio Grande Games,TRUE,1,3279
Broom Service: The Card Game,Ravensburger,TRUE,1,1473
Bruxelles 1897,Geek Attitude Games,TRUE,3,3449
Buffalo,Tiltfactor,TRUE,1,2892
Buffy the Vampire Slayer: The Board Game,Jasco,TRUE,1,3362
Bugs in the Kitchen,Ravensburger,TRUE,1,2217
Bullfrogs,Renegade Game Studios,TRUE,1,1649
Burgle Bros.,Fowers Games,TRUE,1,2096
Burgle Bros.,Fowers Games,TRUE,1,2096
Bus,Splotter,TRUE,2,3441
ButaBabel,Yuo,TRUE,1,3281
Butterfly,Rio Grande Games,TRUE,1,3096
Byzanz,Renegade Game Studios,TRUE,1,2116
Cactus,Jordan Draper Games,TRUE,1,3544
Cadwallon: City of Thieves,Fantasy Flight Games,TRUE,1,112
Cahoots,Mayday Games,TRUE,1,3119
Calimala,Slackfire,TRUE,1,2021
Call of Cthulhu: The Card Game,Fantasy Flight Games,TRUE,1,3131
Call to Adventure,Brotherwise Games,TRUE,1,3361
Can't Catch Harry,Breaking Games,TRUE,3,3530
Can't Stop,Eagle-Gryphon Games,TRUE,1,1979
Cantankerous Cats,Breaking Games,TRUE,1,2781
Caper,Keymaster Games,TRUE,1,2886
Captain Silver,Queen Games,TRUE,1,1922
Captain Sonar,Asmodee,TRUE,2,1764
Capture,Game Salute,TRUE,1,3269
Car Wars: The Card Game,Steve Jackson Games,TRUE,1,1489
Caravan,Rio Grande Games,TRUE,1,3303
Carcassonne,Z-Man Games,TRUE,1,1840
Carcassonne,Z-Man Games,TRUE,1,1840
Carcassonne,Z-Man Games,TRUE,1,1840
Carcassonne: Safari,Z-Man Games,TRUE,1,2306
Carcassonne: The Discovery,Rio Grande Games,TRUE,1,128
Cardline: Globetrotter,Asmodee,TRUE,1,1163
Cargo Express,Compass Games,TRUE,1,2947
Carnival of Monsters,Amigo,TRUE,1,3293
Carpe Diem,Alea,TRUE,1,2691
Carrossel,Mebo,TRUE,3,3443
Carthago: Merchants & Guilds,Capstone Games,TRUE,1,2240
Cartographers: A Roll Player Tale,Thunderworks Games,TRUE,3,2998
Cartooner,Japanime Games,TRUE,1,2561
Castaways,Passport Game Studios,TRUE,1,137
Castell,Renegade Game Studios,TRUE,1,2114
Castellan,Steve Jackson Games,TRUE,2,1151
Castello Methoni,Mandoo Games,TRUE,2,3404
Castle Rampage,Pegasus Spiele,TRUE,2,2502
Castles of Caladale,Renegade Game Studios,TRUE,4,3232
Castles of Caladale,Renegade Game Studios,TRUE,4,3232
Castles of Mad King Ludwig,Bezier Games,TRUE,1,2481
